,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,cheers,exist,bobbe,beauchaine,deleted,statement,bible,does,said,true,post,deletion,say,book,kent,bobby,evidence,belief,claim,argument,objective,religious,islamic,moral,morality,atheist,islam,atheists,atheism,religion
1,convert,points,vesa,algorithm,viewer,24,version,formats,polygon,package,jpeg,library,xv,pov,need,color,comp,bit,animation,looking,software,tiff,gif,code,format,computer,images,3d,image,graphics
2,norton,tried,truetype,indiana,zip,try,memory,change,exe,desktop,computer,print,icon,win3,version,use,mouse,microsoft,manager,ini,windows,using,drivers,ax,win,font,fonts,printer,cica,driver
3,work,set,com,pin,eisa,using,drivers,ibm,need,machine,memory,help,dma,vlb,use,irq,gateway,486,isa,computer,modem,cpu,motherboard,port,board,controller,ide,bios,bus,pc
4,clock,upgrade,hardware,internal,computer,lciii,mhz,nubus,speed,pds,modem,power,price,610,use,new,macs,board,powerbook,fpu,iisi,duo,se,monitor,quadra,simms,centris,lc,apple,mac
5,hp,colormap,r5,xv,user,xdm,hi,client,manager,color,lib,xlib,openwindows,running,set,widgets,x11,mit,code,using,sun,use,display,x11r5,application,xterm,widget,server,motif,window
6,following,looking,manual,modem,includes,send,offers,forsale,manuals,selling,cd,best,used,games,obo,brand,original,edu,excellent,mail,price,email,interested,new,sell,asking,condition,shipping,offer,sale
7,driving,v6,transmission,wagon,manual,__,engines,air,nissan,models,rear,autos,vw,road,bmw,price,wheel,turbo,radar,gt,honda,new,toyota,mustang,auto,dealer,ford,oil,engine,cars
8,tony,cop,wheel,engine,passenger,biker,driving,miles,seat,new,riders,right,got,shaft,harley,chain,rear,rider,motorcycles,honda,road,helmet,bmw,dog,motorcycle,riding,bikes,ride,dod,bike
9,hitting,jays,phillies,career,teams,pitch,batting,morris,play,hitter,pitchers,player,cubs,win,sox,stats,league,season,ball,pitching,runs,pitcher,braves,players,hit,games,year,team,game,baseball
10,toronto,sabres,coach,wings,buffalo,fans,goal,cup,win,devils,rangers,league,playoff,detroit,player,teams,bruins,year,leafs,pens,playoffs,players,play,espn,season,nhl,games,team,hockey,game
11,random,public,voice,code,eff,crypt,phone,secret,denning,bits,secure,phones,cryptography,rsa,message,com,encrypted,trust,algorithm,government,clinton,privacy,david,security,pgp,des,crypto,encryption,clipper,nsa
12,detector,supply,chip,led,data,line,circuits,pin,signal,input,copy,wire,tv,low,noise,audio,company,amp,phone,ground,current,battery,output,radio,used,power,voltage,electronics,use,circuit
13,kidney,symptoms,doctors,research,photography,chronic,surgery,infection,candida,blood,effect,yeast,drug,body,information,cause,diet,effects,patient,health,medicine,food,pain,treatment,cancer,patients,disease,medical,doctor,msg
14,new,long,astronomy,orbital,satellites,science,idea,rocket,dc,sci,station,flight,mars,data,project,cost,hst,lunar,satellite,sky,spacecraft,solar,mission,nasa,earth,moon,launch,orbit,shuttle,space
15,churches,read,body,spirit,word,religion,life,homosexual,resurrection,homosexuality,true,truth,mary,love,lord,book,paul,heaven,marriage,scripture,catholic,faith,bible,sin,christianity,jesus,christians,christ,christian,church
16,jim,shot,clinton,amendment,law,constitution,right,davidians,tanks,militia,weapon,federal,assault,compound,house,handheld,jmd,feustel,firearms,texas,gas,waco,bd,guns,atf,com,government,batf,weapons,fbi
17,west,civilians,countries,soldiers,lebanese,gaza,palestine,bosnian,bosnia,serbs,land,anti,lebanon,policy,war,state,killed,mr,palestinians,adam,israelis,peace,palestinian,muslims,arabs,jewish,arab,israeli,jews,israel
18,national,laws,house,force,care,bush,american,trial,children,private,jobs,states,taxes,cramer,state,drugs,sex,clayton,sexual,insurance,homosexuals,mr,health,tax,homosexual,president,clinton,gay,men,government
19,life,cult,context,rosicrucian,values,religious,point,beliefs,children,church,theory,true,christ,read,christianity,order,word,deleted,moral,morality,evidence,koresh,religion,christians,objective,cheers,bible,jesus,kent,christian
